"filename", "language", "SCSS", "PHP", "CSS", "JavaScript", "SQL", "HTML", "XML", "comment", "blank", "total"
"e:\Code\htdocs\.idea\Personal.iml", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 12
"e:\Code\htdocs\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"e:\Code\htdocs\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"e:\Code\htdocs\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"e:\Code\htdocs\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"e:\Code\htdocs\.idea\watcherTasks.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8
"e:\Code\htdocs\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 123, 0, 0, 123
"e:\Code\htdocs\about\index.html", "HTML", 0, 0, 0, 0, 0, 129, 0, 0, 2, 131
"e:\Code\htdocs\blog\index.html", "HTML", 0, 0, 0, 0, 0, 50, 0, 0, 1, 51
"e:\Code\htdocs\contact\index.html", "HTML", 0, 0, 0, 0, 0, 50, 0, 0, 2, 52
"e:\Code\htdocs\ct428\Buoi1\Bai1.html", "HTML", 0, 0, 0, 0, 0, 85, 0, 0, 1, 86
"e:\Code\htdocs\ct428\Buoi1\Bai2.html", "HTML", 0, 0, 0, 0, 0, 84, 0, 0, 1, 85
"e:\Code\htdocs\ct428\Buoi1\index.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"e:\Code\htdocs\ct428\Buoi2\Bai1.html", "HTML", 0, 0, 0, 0, 0, 86, 0, 0, 1, 87
"e:\Code\htdocs\ct428\Buoi2\Bai2.html", "HTML", 0, 0, 0, 0, 0, 56, 0, 5, 7, 68
"e:\Code\htdocs\ct428\Buoi3\Bai1.html", "HTML", 0, 0, 0, 0, 0, 87, 0, 0, 1, 88
"e:\Code\htdocs\ct428\Buoi3\Bai2.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 4, 48
"e:\Code\htdocs\ct428\Buoi3\Bai3_DSSP.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 5, 63
